1299,0
888,0
1626,0
1271,0
1720,1
213,0
1877,0
2280,0
800,0
2402,0
1412,0
2208,0
2578,0
2627,0
273,0
71,0
1659,0
1087,0
394,0
583,0
1830,1
1839,0
500,0
2089,0
2149,0
2887,1
2656,0
2748,0
1615,0
205,0
733,0
2894,0
526,0
1273,0
898,0
377,0
1601,0
2670,0
1338,0
386,0
198,0
1050,0
590,0
519,0
1891,0
429,0
1083,0
207,0
491,0
2823,0
792,0
1874,0
1186,0
1185,0
1726,1
1558,0
83,0
2480,0
2261,0
20,0
2154,0
1448,0
1800,1
2609,1
2603,0
973,0
2704,0
883,0
1098,0
1957,0
2820,0
886,0
2852,1
2400,0
1418,0
2549,0
1366,0
2586,1
458,0
1756,0
78,0
2825,0
1056,0
906,0
1453,0
2140,1
2856,0
380,0
2446,0
1587,0
2658,0
715,0
1777,0
686,0
2483,0
305,0
209,0
1378,0
2147,0
2883,0
1429,0
885,0
2891,1
2024,0
1543,0
1538,0
191,0
1620,0
1265,0
483,0
915,0
2517,0
277,0
988,1
1349,0
2566,0
1510,0
571,0
993,0
2621,0
1457,0
585,0
1461,0
2900,0
1882,0
674,0
2444,0
855,0
447,0
1316,0
1544,1
1688,0
2184,0
2591,1
2310,1
1591,0
2587,0
1247,0
294,0
588,0
1281,0
2023,1
1963,1
1322,1
2178,0
425,0
534,0
1054,0
1731,0
2426,1
1321,0
132,0
2554,0
2508,0
1990,0
2574,0
1883,0
1463,0
556,0
1898,1
2662,0
2595,0
570,0
352,0
91,0
2054,0
2792,0
1170,0
2440,0
1285,0
1577,0
1362,0
2080,0
697,0
2428,0
348,0
1450,0
2271,0
2355,1
2098,0
1137,0
1750,0
2347,1
2751,1
2735,0
1339,0
2412,0
453,0
913,0
1199,0
1274,1
2886,0
37,0
974,0
2686,1
983,0
1674,1
2407,1
1926,0
39,0
1655,0
169,0
1355,0
737,0
2758,1
2615,0
2111,1
634,1
2564,1
2453,1
1290,0
579,1
328,0
1927,0
892,0
1717,0
780,0
159,0
1436,1
1533,0
2249,1
61,0
849,0
2060,0
2803,1
1043,1
2418,0
